No degree,Has degree
92.32450684264423,96.67541130549083
90.66367064957007,96.61475638639781
88.88507804191313,94.43996740933831
80.37673308881979,91.98668175727475
73.5328209040648,85.27798897209911
72.42459912142887,83.22234273236975
70.39583579945523,85.10372256150417
63.76175074183684,80.42104084878234
57.22886115508086,77.53791652298135
46.199274470466214,58.152461785069754
70.22711747845537,74.33009241865186
80.61974624382061,91.14142379120457
84.47740806335472,89.9716762610965
75.82417705599543,82.04348249485254
60.09656813374173,62.975670386328034
