Chart,Question code,First Split,Second Split,N
Church Dot Plot,SUPPORT_REFUGEES,British not Irish,Regular,302.54180962600003
Church Dot Plot,SUPPORT_REFUGEES,Equally Irish and British,No religion,265.595234883
Church Dot Plot,SUPPORT_REFUGEES,Equally Irish and British,Occasional or never,293.786039764
Church Dot Plot,SUPPORT_REFUGEES,Equally Irish and British,Regular,244.507085228
Church Dot Plot,SUPPORT_REFUGEES,Irish not British,No religion,277.791290276
Church Dot Plot,SUPPORT_REFUGEES,Irish not British,Occasional or never,690.145069915
Church Dot Plot,SUPPORT_REFUGEES,Irish not British,Regular,432.15820881699995
Church Dot Plot,SUPPORT_REFUGEES,More British than Irish,No religion,219.254244026
Church Dot Plot,SUPPORT_REFUGEES,More British than Irish,Occasional or never,289.691819716
Church Dot Plot,SUPPORT_REFUGEES,More British than Irish,Regular,272.119647627
Church Dot Plot,SUPPORT_REFUGEES,More Irish than British,No religion,168.122973234
Church Dot Plot,SUPPORT_REFUGEES,More Irish than British,Occasional or never,195.311850757
Church Dot Plot,SUPPORT_REFUGEES,More Irish than British,Regular,149.55999536000002
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,British not Irish,No religion,206.569301285
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,British not Irish,Occasional or never,398.06291137200003
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,British not Irish,Regular,308.075361268
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,Equally Irish and British,No religion,265.595234883
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,Equally Irish and British,Occasional or never,295.333721127
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,Equally Irish and British,Regular,244.507085228
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,Irish not British,No religion,277.791290276
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,Irish not British,Occasional or never,690.145069915
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,Irish not British,Regular,436.831899749
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,More British than Irish,No religion,219.25424402599998
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,More British than Irish,Occasional or never,290.383916912
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,More British than Irish,Regular,273.608475192
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,More Irish than British,No religion,168.12297323400003
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,More Irish than British,Occasional or never,195.311850757
Church Dot Plot,PREFER_MIXED_NEIGHBOURHOOD,More Irish than British,Regular,149.55999536000002
