IRBRIT,Would willingly accept a Muslim as a resident in their local area,Agree that it is our duty to provide protection to refugees,Would prefer to live in a mixed neighbourhood
British not Irish,0.7847873611991302,0.5089542802497695,0.6089605429084383
Equally Irish and British,0.9207658825523243,0.7263867965609664,0.8742675806496872
Irish not British,0.9475706166105011,0.7825526186834423,0.7245334481682522
More British than Irish,0.8680835444543541,0.6836818576709315,0.7918689654792663
More Irish than British,0.9408231487911928,0.7866542377207602,0.864758886460514
